2019.06.15 21:21:56.900 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:21:57.901 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:21:57.901 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:22:13.979 INFO  Server.Server - Server starter at ServerSocket[addr=0.0.0.0/0.0.0.0,localport=5401]!
2019.06.15 21:22:13.979 INFO  Server.Server - Server starter at ServerSocket[addr=0.0.0.0/0.0.0.0,localport=5400]!
2019.06.15 21:22:13.981 INFO  Server.Server - Server's Strategy: ServerStrategySolveSearchProblem
2019.06.15 21:22:13.981 INFO  Server.Server - Server's Strategy: ServerStrategyGenerateMaze
2019.06.15 21:22:13.981 INFO  Server.Server - Server is waiting for clients...
2019.06.15 21:22:13.981 INFO  Server.Server - Server is waiting for clients...
2019.06.15 21:22:14.982 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:22:14.982 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:22:15.983 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:22:15.983 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:22:16.984 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:22:16.984 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:22:17.984 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:22:17.985 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:22:18.984 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:22:18.985 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:22:51.162 INFO  Server.Server - Server starter at ServerSocket[addr=0.0.0.0/0.0.0.0,localport=5401]!
2019.06.15 21:22:51.162 INFO  Server.Server - Server starter at ServerSocket[addr=0.0.0.0/0.0.0.0,localport=5400]!
2019.06.15 21:22:51.165 INFO  Server.Server - Server's Strategy: ServerStrategyGenerateMaze
2019.06.15 21:22:51.165 INFO  Server.Server - Server's Strategy: ServerStrategySolveSearchProblem
2019.06.15 21:22:51.165 INFO  Server.Server - Server is waiting for clients...
2019.06.15 21:22:51.165 INFO  Server.Server - Server is waiting for clients...
2019.06.15 21:22:52.165 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:22:52.165 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:22:53.166 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:22:53.166 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:22:54.166 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:22:54.167 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:22:55.167 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:22:55.168 DEBUG Server.Server - Socket Timeout - No clients pending!
